product_id1,product_id2,similarity
276250848,276250848,1.0
276250848,276250848,1.0
276250848,276250848,1.0
274721231,276250848,0.9125
274059475,276250848,0.9471
273029857,276250848,0.984
261965186,276250848,0.9248
11251951,276250848,0.832
276032851,276250848,0.9135
275543373,276250848,0.8826
217548686,276250848,0.8812
273252926,276250848,0.9657
271730109,276250848,0.8789
251407092,276250848,0.9441
248754839,276250848,0.9236
248005118,276250848,0.9602
203853390,276250848,0.924
275775805,276250848,0.9218
274516951,276250848,0.8663
276580199,276250848,0.8858
198203859,276250848,0.9236
274184304,276250848,0.8353
271984126,276250848,0.8791
273831862,276250848,0.8688
91191211,276250848,0.8544
276250848,273029857,0.984
275206906,273029857,0.9065
274721231,273029857,0.9138
274059475,273029857,0.9394
273029857,273029857,1.0
273029857,273029857,1.0
273029857,273029857,1.0
261965186,273029857,0.9292
275775866,273029857,0.9462
274625697,273029857,0.9366
274542808,273029857,0.9547
272392928,273029857,0.8517
273252926,273029857,0.9596
251407092,273029857,0.9491
248754839,273029857,0.928
248005118,273029857,0.9629
203853390,273029857,0.9341
275775836,273029857,0.9152
272273680,273029857,0.9433
275775805,273029857,0.9277
276580199,273029857,0.8927
275917372,273029857,0.8932
198203859,273029857,0.9217
273634830,273029857,0.9529
274808449,273029857,0.8698
276250848,273252926,0.9657
276045754,273252926,0.8856
276045562,273252926,0.8924
275589968,273252926,0.9417
275510579,273252926,0.9208
275510579,273252926,0.8813
274059475,273252926,0.915
275571990,273252926,0.8377
273029857,273252926,0.9596
261965186,273252926,0.9176
276032851,273252926,0.8675
273559020,273252926,0.847
263798932,273252926,0.85
274257669,273252926,0.865
273653444,273252926,0.9494
273252926,273252926,1.0
273252926,273252926,1.0
273252926,273252926,1.0
251407092,273252926,0.9337
248754839,273252926,0.9442
248005118,273252926,0.9429
203853390,273252926,0.9535
275775805,273252926,0.9331
252884859,273252926,0.8594
275917372,273252926,0.8968
198203859,273252926,0.9309
275316800,273252926,0.8392
273197766,273252926,0.8633
88798139,273252926,0.8547
115786359,273252926,0.8793
54626520,273252926,0.8622
52341716,273252926,0.9002
19772753,273252926,0.9333
274940315,273252926,0.836
276250848,248005118,0.9602
276045754,248005118,0.8828
275510579,248005118,0.9289
274059475,248005118,0.933
275774747,248005118,0.8376
275774747,248005118,0.8898
273029857,248005118,0.9629
274908645,248005118,0.8469
274257669,248005118,0.9057
273252926,248005118,0.9429
251407092,248005118,0.9741
248754839,248005118,0.9039
248005118,248005118,1.0
248005118,248005118,1.0
248005118,248005118,1.0
203853390,248005118,0.9096
275775836,248005118,0.9164
273430216,248005118,0.9038
247730209,248005118,0.9459
276257599,248005118,0.8425
275775805,248005118,0.9121
248929458,248005118,0.9459
276580199,248005118,0.8707
198203859,248005118,0.9416
275316800,248005118,0.8681
273406303,248005118,0.9182
195741816,248005118,0.8624
273197766,248005118,0.8554
274793452,248005118,0.8403
276250848,274059475,0.9471
276045770,274059475,0.8826
275583780,274059475,0.895
275206906,274059475,0.9097
274721231,274059475,0.9161
274059475,274059475,1.0
274059475,274059475,1.0
274059475,274059475,1.0
226552005,274059475,0.9738
181927774,274059475,0.9688
181452535,274059475,0.9296
118100164,274059475,0.9395
275583783,274059475,0.9267
275571990,274059475,0.9281
274839897,274059475,0.853
273029857,274059475,0.9394
272394241,274059475,0.9458
271128271,274059475,0.8843
261965186,274059475,0.9264
276083329,274059475,0.9484
276032851,274059475,0.9114
274958868,274059475,0.943
191350420,274059475,0.8368
274839974,274059475,0.9131
248754839,274059475,0.9179
53380152,274059475,0.915
11376644,274059475,0.9127
276580199,274059475,0.8695
276305472,274059475,0.8768
198203859,274059475,0.9042
262463239,274059475,0.8763
276135096,274059475,0.864
275005995,274059475,0.8562
273084871,274059475,0.8505
58046598,274059475,0.8971
275734637,274059475,0.8526
79582374,274059475,0.8442
56248615,274059475,0.8813
157215759,274059475,0.8997
276250848,251407092,0.9441
270794184,251407092,0.9102
181927736,251407092,0.9536
273559306,251407092,0.9391
273454566,251407092,0.8944
273029857,251407092,0.9491
274868116,251407092,0.9403
274542808,251407092,0.8707
273252926,251407092,0.9337
251407092,251407092,1.0
251407092,251407092,1.0
251407092,251407092,1.0
248005118,251407092,0.9741
203853390,251407092,0.911
276079479,251407092,0.8869
249178196,251407092,0.9175
249143473,251407092,0.8746
125171841,251407092,0.9268
276257683,251407092,0.8889
198203859,251407092,0.9245
273095637,251407092,0.8942
162772687,251407092,0.9396
115088020,251407092,0.9387
59090334,251407092,0.9125
275186940,251407092,0.8337
276250848,272270730,0.9281
274721231,272270730,0.8898
274019962,272270730,0.8714
273440662,272270730,0.8659
273258830,272270730,0.9267
275761381,272270730,0.9449
275571990,272270730,0.9158
273029857,272270730,0.9289
272394241,272270730,0.8988
207883258,272270730,0.8887
181977398,272270730,0.9412
276083329,272270730,0.9402
276039435,272270730,0.9659
273373420,272270730,0.9176
272392928,272270730,0.8737
272234493,272270730,0.9613
270495179,272270730,0.9475
274610380,272270730,0.9454
273685412,272270730,0.9716
140747649,272270730,0.9349
275746497,272270730,0.9205
275695395,272270730,0.9271
275577204,272270730,0.9179
274456687,272270730,0.9703
274392442,272270730,0.9857
273438458,272270730,0.9328
272273680,272270730,0.9908
272273680,272270730,0.9805
262706645,272270730,0.9333
247730209,272270730,0.9691
196197701,272270730,0.9376
276421931,272270730,0.9131
273958512,272270730,0.9303
272270730,272270730,1.0
272270730,272270730,1.0
272270730,272270730,1.0
249143473,272270730,0.8703
248929458,272270730,0.9691
248766283,272270730,0.9015
191764688,272270730,0.9288
253358448,272270730,0.8529
192977208,272270730,0.8785
108753341,272270730,0.866
274994587,272270730,0.87
274649327,272270730,0.8889
207973207,272270730,0.8939
133077905,272270730,0.8369
74912675,272270730,0.9474
260685661,272270730,0.9409
191604412,272270730,0.9011
275889873,272270730,0.8966
275768648,272270730,0.8598
275249317,272270730,0.8891
115786359,272270730,0.8947
112055244,272270730,0.934
275185526,272270730,0.911
35278834,272270730,0.8531
116119833,272270730,0.903
276250848,272273680,0.9279
274019962,272273680,0.8796
273258830,272273680,0.9188
275761381,272273680,0.9427
275571990,272273680,0.9206
273029857,272273680,0.9433
272394241,272273680,0.9057
242434782,272273680,0.8433
181977398,272273680,0.937
276083329,272273680,0.9422
276039435,272273680,0.9623
275543388,272273680,0.8794
273373420,272273680,0.9215
272392928,272273680,0.8735
272234493,272273680,0.9583
270495179,272273680,0.9435
274610380,272273680,0.9336
273685412,272273680,0.9654
140747649,272273680,0.9329
275746497,272273680,0.917
275695395,272273680,0.9304
275577204,272273680,0.9174
274456687,272273680,0.9661
274392442,272273680,0.9738
273438458,272273680,0.924
272273680,272273680,1.0
272273680,272273680,1.0
272273680,272273680,1.0
247730209,272273680,0.9638
196197701,272273680,0.9409
276421931,272273680,0.9172
276079479,272273680,0.8472
273958512,272273680,0.9275
272270730,272273680,0.9908
272270730,272273680,0.9805
249143473,272273680,0.8719
248929458,272273680,0.9638
191764688,272273680,0.9273
94453667,272273680,0.8699
276580199,272273680,0.8415
276509102,272273680,0.8721
276257683,272273680,0.8599
253358448,272273680,0.8602
274649327,272273680,0.908
274384609,272273680,0.8404
133077905,272273680,0.8398
74912675,272273680,0.9333
260685661,272273680,0.9438
112055244,272273680,0.9489
275185526,272273680,0.9069
274793452,272273680,0.8485
253391132,272273680,0.8383
116119833,272273680,0.8861
276250848,261965186,0.9248
275510579,261965186,0.9301
274059475,261965186,0.9264
275774747,261965186,0.8716
273029857,261965186,0.9292
261965186,261965186,1.0
261965186,261965186,1.0
261965186,261965186,1.0
276032851,261965186,0.9105
250113073,261965186,0.9212
248754839,261965186,0.9097
275775836,261965186,0.957
275773424,261965186,0.86
275775805,261965186,0.9435
273958512,261965186,0.9241
273227290,261965186,0.8649
276580199,261965186,0.8913
198203859,261965186,0.9041
270992724,261965186,0.9229
170338325,261965186,0.8636
275734637,261965186,0.853
276449371,261965186,0.8389
273171174,261965186,0.864
276250848,203853390,0.924
275206906,203853390,0.8984
163914808,203853390,0.9033
275761381,203853390,0.8611
273029857,203853390,0.9341
276323340,203853390,0.8306
274866839,203853390,0.8325
273252926,203853390,0.9535
248754839,203853390,0.9823
219400421,203853390,0.8416
203853390,203853390,1.0
203853390,203853390,1.0
203853390,203853390,1.0
275774445,203853390,0.9252
274456687,203853390,0.8513
273438458,203853390,0.8442
274947655,203853390,0.8372
274516951,203853390,0.8663
273438724,203853390,0.871
276314708,203853390,0.8651
276580199,203853390,0.8662
275917372,203853390,0.9191
80857582,203853390,0.8954
49658272,203853390,0.8337
515550,203853390,0.8325
273457735,203853390,0.8541
88796437,203853390,0.8427
85118373,203853390,0.8451
69238917,203853390,0.8841
275763602,203853390,0.8562
88073058,203853390,0.831
276331262,203853390,0.8302
210426682,203853390,0.8445
198199442,203853390,0.9082
147980981,203853390,0.904
253391132,203853390,0.8562
276250848,217548686,0.8812
217548686,217548686,1.0
217548686,217548686,1.0
217548686,217548686,1.0
209872337,217548686,0.8743
91281318,217548686,0.8371
273227290,217548686,0.9888
246971535,217548686,0.8949
271984126,217548686,0.9817
276250848,271984126,0.8791
263798932,271984126,0.8497
217548686,271984126,0.9817
271984126,271984126,1.0
271984126,271984126,1.0
19772753,271984126,0.8404
276250848,275543373,0.8826
275206906,275543373,0.861
274610468,275543373,0.9635
274904904,275543373,0.8332
274617822,275543373,0.9374
273559306,275543373,0.8313
271128271,275543373,0.8504
260406257,275543373,0.859
275543388,275543373,0.9793
275543373,275543373,1.0
275543373,275543373,1.0
275543373,275543373,1.0
275543365,275543373,0.9766
274958815,275543373,0.8563
274625697,275543373,0.964
274625676,275543373,0.9388
274610380,275543373,0.9333
271730109,275543373,0.9254
251407092,275543373,0.8485
275773451,275543373,0.8733
274516951,275543373,0.8773
276181269,275543373,0.8406
276094658,275543373,0.8566
276580199,275543373,0.8476
274184304,275543373,0.8555
389145,275543373,0.8591
176752662,275543373,0.8306
150937588,275543373,0.8451
206231163,275543373,0.8332
47470738,275543373,0.8423
273831862,275543373,0.8754
275130483,275543373,0.8643
91191211,275543373,0.8442
75434583,275543373,0.858
274808449,275543373,0.8575
276250848,271730109,0.8789
275295008,271730109,0.8338
271798615,271730109,0.9221
260406257,271730109,0.9144
275543373,271730109,0.9254
274908645,271730109,0.9162
274378214,271730109,0.9351
274065746,271730109,0.9177
271730109,271730109,1.0
271730109,271730109,1.0
271730109,271730109,1.0
217276360,271730109,0.847
275044287,271730109,0.9086
273430216,271730109,0.8875
273359059,271730109,0.9354
275773451,271730109,0.8679
274516951,271730109,0.8508
258787119,271730109,0.9066
273831862,271730109,0.8596
91191211,271730109,0.8624
276250848,273831862,0.8688
275295008,273831862,0.8787
271128271,273831862,0.8588
11251743,273831862,0.8567
275543373,273831862,0.8754
271730109,273831862,0.8596
274516951,273831862,0.8648
217720396,273831862,0.835
273831862,273831862,1.0
273831862,273831862,1.0
91191211,273831862,0.8637
276250848,274516951,0.8663
274524050,274516951,0.9128
274019962,274516951,0.931
181452535,274516951,0.8327
11251951,274516951,0.8325
275543373,274516951,0.8773
274257669,274516951,0.8413
271730109,274516951,0.8508
219400421,274516951,0.8721
217276360,274516951,0.8393
203853390,274516951,0.8663
160450655,274516951,0.8609
53380152,274516951,0.8344
274516951,274516951,1.0
274516951,274516951,1.0
274516951,274516951,1.0
274184304,274516951,0.8409
273634801,274516951,0.846
273831862,274516951,0.8648
227386,274516951,0.8333
91191211,274516951,0.8663
274808449,274516951,0.867
275209232,274516951,0.8326
276250848,91191211,0.8544
181927774,91191211,0.864
275295008,91191211,0.8447
271730109,91191211,0.8624
274516951,91191211,0.8663
248766283,91191211,0.8356
276509102,91191211,0.8445
273406303,91191211,0.8377
7574741,91191211,0.834
273831862,91191211,0.8637
91191211,91191211,1.0
91191211,91191211,1.0
276250848,274184304,0.8353
274516951,274184304,0.8409
274184304,274184304,1.0
274184304,274184304,1.0
276250848,11251951,0.832
4048043,11251951,0.8408
275295008,11251951,0.8673
11251951,11251951,1.0
11251951,11251951,1.0
11251951,11251951,1.0
11251743,11251951,0.9513
274542883,11251951,0.892
